conversation,speaker,chapter_per_conversation
" What is the meaning of happiness?
 ",SO,1
" Happiness is the one thing in life that everyone is
 looking for, irrespective of what we are doing, what relationships
 we have established, what we are trying to achieve, and so on.
 If we think about life, clearly all of us are looking for happiness.
 ",SS,1
" We are looking for happiness as you said. But what is
 it through which we are looking for it?
 ",SO,1
" We do it through different means - it could be through
 possessions, through property, through relationships, through
 achievements, through good health. Like, if you ask someone
 what they want in life, they often say 'success'. Why they want
 success is primarily because it makes them happy. You ask
 someone why they want to buy a particular thing. The most
 likely response is that it makes them happy or maybe it makes
 the family happy. Again you ask someone what they get out
 of a relationship? Yet again, the response is often Happiness.
 So, finally everyone is looking for that one word - happiness.
 ",SS,1
" But is happiness limited or unlimited? It is limited,
 isn't it?
 ",SO,1
" It is. In fact, I don't even know whether it's there
 ",SS,1
" So it is momentary - like a child who plays with a
 toy and breaks it, and then wants to try another one, then
 another one, and so on. So what are we looking for actually?
 If we are looking for happiness, shouldn't it be something
 concrete and permanent?
 ",SO,1
" It should be permanent, that's most important. If happiness
 is something that I like, if it's something that I desire, and if
 comes naturally to me, then it won't be dependent on anything
 else outside. If it's dependent on something, then it can never
 be constant.
 Simply put, if you are looking for it outside somewhere
 then you are dependent on that thing and the feeling won't
 sustain. Lets say I feel good if the weather is pleasant; my
 feeling good is then dependent on the weather
 ",SS,1
" Sure! But what I want to understand is that how can
 one have happiness without desires and dependency?
 ",SO,1
" That's probably one of the oldest belief systems we have
 allowed ourselves to live by - the belief that happiness is to
 be got from the outside, whether it's from achievements or
 from people or from what we are. I am doing this so that I
 will feel happy' is always the equation. When it's done, and
 done in the right way, I will feel happy. So, the dependency
 is on the act being performed in the right manner. Right
 from when a child is conditioned by the parents to make the
 parents feel good when the child gets good marks, when the
 child performs well, when the child looks good.
 Slowly a child is conditioned to believe that if my parents
 feel happy then I will feel happy, and if my parents are not
 happy then how can I be happy?
 ",SS,1
" Can you share some easier way or the right way whereby
 we can understand the meaning of happiness and understand
 how to achieve it without dependency?
 ",SO,1
" First and foremost, let's try and see on what it is dependent.
 The simplest dependency that we experience on a daily basis is
 on objects. I'll feel happy when I buy a new car; I'll feel happy
 when I buy new property; I am happy when I go shopping.
 ",SS,1
" But what is wrong in this? Isn't this natural?
 ",SO,1
" What is more important - Is it true?' Are these dependencies
 actually making us happy?
 ",SS,1
" Honestly speaking, I will feel happy if I bought a new car.
 ",SO,1
" Of course you will, but is it the car which is giving you
 that happiness, which you are looking for?
 I will feel happy when I have a new car . which means
 if I don't, then it's a question mark. This also means that 10
 days down the line if the car gets a little scratch or a little
 bump, my happiness is again going to get affected because I
 have conditioned myself into believing that it is the car which
 is giving me happiness. Now that is not true. You buy a new
 car - the car could be of X amount, or it could be ten times
 the X amount; in fact, it could be the most expensive car in
 the world. You sit in the car and it very comfortable. So who
 is experiencing the comfort? It's the body. It's got excellent
 seats, a great music system and a very powerful AC. There
 is complete physical comfort. I am comfortablesitting in the
 car and so I tell myself that I am feeling good. And just at
 that time I get a phone call saying something unpleasant has
 happened at home. Will I still be happy?
 ",SS,1
" No.
 ",SO,1
" But I am still comfortable. The car is still there and I
 am still in the car. The car was designed to give me physical
 comfort and it will give me physical comfort irrespective of
 any other life event that I encounter
 ",SS,1
" So, you mean to say that happiness and comfort are
 two different things?
 ",SO,1
" Anything that is physical is designed to give me physiceal
 comfort. The chair I am sitting on is physical and giving me
 physical comfort, but I tell myself that this gives me happiness
 ",SS,1
" Is this a wrong belief that we have?
 ",SO,1
